defect_id,aircraft_id,report_date,ata_chapter,component,defect_description,severity,aog_flag,delay_minutes,repeat_defect,rectification_hours,vendor,maintenance_action,part_id,status
DEF0108,AC004,2025-04-18,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,Low,false,31,false,3.4,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Closed
DEF0022,AC003,2025-04-19,29 Hydraulic Power,Hydraulic Reservoir Sensor,Reservoir low-level caution cleared after reset,High,false,131,false,3.7,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Open
DEF0092,AC010,2025-04-21,31 Indicating/Recording Systems,Central Maintenance Display Module,Recorded faults not visible on maintenance display module,Low,false,21,false,0.6,Collins,Replaced display module and reloaded maintenance database,PN-3102,Deferred
DEF0083,AC004,2025-04-23,22 Auto Flight,Autopilot Flight Control Computer,Autopilot dropped offline during managed descent,High,false,104,false,6.0,Collins,Replaced AFCC and carried out autopilot functional test,PN-2201,Open
DEF0025,AC008,2025-04-29,27 Flight Controls,Spoiler Control Actuator,Spoiler panel 4 actuator leak suspicion raised,High,true,417,false,14.6,Parker,Inspected actuator fittings and re-bled hydraulic line,PN-2702,Closed
DEF0078,AC007,2025-05-01,34 Navigation,FMS CDU,FMS input lag intermittently reported,High,true,216,false,5.9,Honeywell,Replaced CDU and repeated route entry test,PN-3401,Deferred
DEF0076,AC012,2025-05-04,23 Communications,VHF Control Panel,VHF communication static on channel transfer,Medium,false,27,false,5.1,Collins,Replaced VHF panel and carried out radio check,PN-2301,Closed
DEF0088,AC010,2025-05-12,49 APU,APU Fuel Control Unit,APU flame-out indication during ground start,Medium,false,70,true,4.8,Honeywell,Replaced fuel control unit and completed APU performance test,PN-4902,Closed
DEF0018,AC011,2025-05-13,27 Flight Controls,Spoiler Control Actuator,Spoiler actuation slow during flight control check,Critical,true,257,false,26.3,Parker,Replaced spoiler actuator and conducted hydraulic leak check,PN-2702,Closed
DEF0058,AC009,2025-05-14,34 Navigation,IRS Cooling Fan,Navigation cooling fan fail message recorded,High,true,416,false,19.9,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
DEF0098,AC006,2025-05-15,23 Communications,Satcom Transceiver,Satcom login unavailable after power-up,Critical,false,118,false,26.7,Honeywell,Reset satcom transceiver and loaded configuration file,PN-2302,Closed
DEF0106,AC002,2025-05-17,25 Equipment/Furnishings,Galley Power Control Unit,Galley feeder tripped intermittently during service setup,High,false,115,false,4.3,Safran,Reset feeder contactor and monitored current draw,PN-2502,Closed
DEF0028,AC008,2025-05-18,24 Electrical Power,Static Inverter,Static inverter fail indication on ground power,High,false,78,false,9.5,Thales,Replaced static inverter and performed transfer check,PN-2402,Closed
DEF0052,AC001,2025-05-19,24 Electrical Power,Transformer Rectifier Unit,Transformer rectifier overheat caution during taxi-out,High,false,37,false,10.5,Safran,Carried out wiring continuity inspection and system reset,PN-2401,Closed
DEF0001,AC008,2025-05-20,21 Air Conditioning,Cabin Pressure Controller,Cabin pressurization fault message during descent,High,false,106,false,7.9,Honeywell,Replaced cabin pressure controller and carried out leak check,PN-2101,Closed
DEF0044,AC011,2025-05-27,31 Indicating/Recording Systems,Brake Temperature Monitoring Unit,Crew reported brake temperature values frozen on ECAM,Medium,true,143,false,13.1,Honeywell,Inspected harness routing and completed post-maintenance check,PN-3101,Closed
DEF0074,AC002,2025-05-28,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,Low,true,176,false,8.0,Parker,Replaced hydraulic line kit and performed pressure leak test,PN-2902,Closed
DEF0061,AC002,2025-05-30,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,Medium,false,55,false,3.8,Honeywell,Replaced cabin pressure controller and carried out leak check,PN-2101,Open
DEF0065,AC010,2025-06-02,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,High,false,55,false,5.5,Parker,Removed damaged hose assembly and replenished fluid quantity,PN-2902,Deferred
DEF0094,AC005,2025-06-04,21 Air Conditioning,Pack Flow Control Valve,Pack valve response slow during turnaround checks,Medium,false,45,false,5.4,Parker,Inspected pneumatic line contamination and verified valve travel,PN-2102,Closed
DEF0085,AC005,2025-06-14,22 Auto Flight,Autothrust Servo Module,Throttle servo lag detected during autothrust engagement,Medium,false,11,false,3.4,Thales,Reset autothrust channel and performed post-maintenance operational check,PN-2202,Closed
DEF0091,AC012,2025-06-21,23 Communications,Satcom Transceiver,Intermittent satcom message transmission delay,Low,false,20,false,2.4,Honeywell,Checked antenna coupler connections and repeated comm test,PN-2302,Closed
DEF0041,AC008,2025-06-22,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic reservoir sensor disagree message recorded,Medium,false,60,false,8.1,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Closed
DEF0024,AC003,2025-06-23,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,Low,false,18,false,3.1,Honeywell,Inspected connectors and swapped pressure controller unit,PN-2101,Closed
DEF0053,AC002,2025-07-01,23 Communications,VHF Control Panel,Crew reported loss of sidetone while using VHF panel,Medium,false,12,false,3.8,Collins,Inspected audio control interface and verified channel transfer logic,PN-2301,Closed
DEF0089,AC004,2025-07-01,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,Low,false,0,false,2.5,Honeywell,Performed software refresh and monitored key response,PN-3401,Closed
DEF0042,AC009,2025-07-07,23 Communications,VHF Control Panel,VHF communication static on channel transfer,Low,false,20,false,2.3,Collins,Inspected audio control interface and verified channel transfer logic,PN-2301,Closed
DEF0045,AC008,2025-07-11,27 Flight Controls,Spoiler Control Actuator,Spoiler panel 4 actuator leak suspicion raised,High,false,135,false,5.4,Parker,Inspected actuator fittings and re-bled hydraulic line,PN-2702,Open
DEF0050,AC004,2025-07-11,32 Landing Gear,Nose Gear Steering Control Valve,Nose wheel steering angle mismatch detected,Medium,false,59,false,2.4,Parker,Adjusted steering rigging and verified angle feedback,PN-3202,Deferred
DEF0006,AC011,2025-07-15,25 Equipment/Furnishings,Galley Power Control Unit,Aft galley power not restored following turnaround,Low,false,22,false,4.0,Safran,Inspected galley harness and verified power restoration,PN-2502,Closed
DEF0013,AC002,2025-07-15,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,Low,false,16,false,1.9,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Open
DEF0038,AC003,2025-07-17,34 Navigation,IRS Cooling Fan,IRS cooling fan current draw above normal limit,Medium,false,34,false,5.8,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
DEF0049,AC010,2025-07-18,32 Landing Gear,Brake Control Unit,Brake control unit reported channel mismatch,Medium,false,20,false,7.2,Safran,Inspected wheel speed input and swapped brake control unit,PN-3201,Closed
DEF0060,AC002,2025-07-19,49 APU,APU Starter Controller,APU auto-start unsuccessful on turnaround,High,true,198,false,5.0,Honeywell,Reset controller logic and monitored start sequence,PN-4901,Deferred
DEF0077,AC005,2025-07-20,32 Landing Gear,Brake Control Unit,Anti-skid self-test failed after turnaround,Critical,true,284,false,14.9,Safran,Inspected wheel speed input and swapped brake control unit,PN-3201,Closed
DEF0105,AC011,2025-07-20,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,High,false,48,false,5.1,Honeywell,Performed software refresh and monitored key response,PN-3401,Deferred
DEF0020,AC012,2025-07-21,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,Medium,false,29,false,5.6,Parker,Tightened B-nut connection and repeated leak inspection,PN-2902,Closed
DEF0047,AC001,2025-07-22,23 Communications,Satcom Transceiver,Intermittent satcom message transmission delay,Low,false,26,false,0.7,Honeywell,Replaced transceiver and verified network registration,PN-2302,Deferred
DEF0051,AC011,2025-07-22,32 Landing Gear,Nose Gear Steering Control Valve,Steering control valve fault message after landing,High,true,281,false,4.1,Parker,Adjusted steering rigging and verified angle feedback,PN-3202,Deferred
DEF0090,AC011,2025-07-25,27 Flight Controls,Elevator Position Sensor,Flight control ECAM indicated elevator sensor fault,High,false,68,false,14.1,Thales,Replaced elevator position sensor and performed rigging check,PN-2701,Closed
DEF0063,AC005,2025-08-02,25 Equipment/Furnishings,Galley Power Control Unit,Aft galley power not restored following turnaround,Medium,false,67,false,8.5,Safran,Inspected galley harness and verified power restoration,PN-2502,Closed
DEF0067,AC011,2025-08-06,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,High,true,348,false,15.3,Parker,Removed damaged hose assembly and replenished fluid quantity,PN-2902,Closed
DEF0064,AC002,2025-08-08,22 Auto Flight,Autothrust Servo Module,Throttle servo lag detected during autothrust engagement,Medium,false,73,false,3.2,Thales,Adjusted servo harness termination and carried out engine run,PN-2202,Deferred
DEF0023,AC002,2025-08-15,31 Indicating/Recording Systems,Central Maintenance Display Module,Recorded faults not visible on maintenance display module,Critical,true,261,false,18.7,Collins,Replaced display module and reloaded maintenance database,PN-3102,Closed
DEF0030,AC004,2025-08-16,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,High,false,123,false,11.7,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Closed
DEF0027,AC005,2025-08-26,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,Medium,true,90,false,8.1,Honeywell,Replaced starter controller and completed successful APU run,PN-4901,Closed
DEF0100,AC003,2025-08-28,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,Low,false,25,false,7.4,Parker,Removed damaged hose assembly and replenished fluid quantity,PN-2902,Closed
DEF0054,AC001,2025-08-29,38 Water/Waste,Vacuum Waste Interface Valve,Waste system reset required after arrival,Low,false,19,false,2.6,Lufthansa Technik,Inspected actuator linkage and verified waste cycle performance,PN-3802,Deferred
DEF0040,AC011,2025-08-31,23 Communications,Satcom Transceiver,Intermittent satcom message transmission delay,Low,false,27,false,2.8,Honeywell,Replaced transceiver and verified network registration,PN-2302,Closed
DEF0099,AC006,2025-09-02,25 Equipment/Furnishings,IFE Seat Electronics Box,Seat row IFE reset required repeatedly,Low,false,16,false,1.5,Panasonic,Replaced seat electronics box and completed cabin test,PN-2501,Closed
DEF0079,AC001,2025-09-05,34 Navigation,FMS CDU,Pilot CDU keys unresponsive during route amendment,Low,false,28,false,2.3,Honeywell,Inspected keypad ribbon connector and verified response times,PN-3401,Closed
DEF0080,AC007,2025-09-07,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,Low,false,16,false,1.3,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Closed
DEF0002,AC002,2025-09-08,23 Communications,Satcom Transceiver,Intermittent satcom message transmission delay,Medium,false,74,false,6.0,Honeywell,Checked antenna coupler connections and repeated comm test,PN-2302,Closed
DEF0004,AC002,2025-09-09,38 Water/Waste,Potable Water Pump,Potable water pump cycling frequently during service,Low,false,34,false,2.7,Safran,Replaced water pump and verified service pressure,PN-3801,Closed
DEF0055,AC009,2025-09-09,29 Hydraulic Power,Hydraulic Reservoir Sensor,Reservoir low-level caution cleared after reset,High,true,363,false,11.2,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Closed
DEF0007,AC012,2025-09-11,31 Indicating/Recording Systems,Central Maintenance Display Module,Display freeze observed during post-flight fault review,High,false,40,false,10.3,Collins,Inspected display backplane connector and repeated review,PN-3102,Closed
DEF0014,AC004,2025-09-11,31 Indicating/Recording Systems,Central Maintenance Display Module,Display freeze observed during post-flight fault review,High,false,89,false,4.3,Collins,Replaced display module and reloaded maintenance database,PN-3102,Open
DEF0005,AC007,2025-09-15,34 Navigation,IRS Cooling Fan,IRS bay cooling fan noise elevated during preflight,Low,false,4,false,3.1,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
DEF0086,AC006,2025-09-20,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,Medium,false,44,false,5.5,Honeywell,Performed BITE test and reset pressurization channel,PN-2101,Closed
DEF0095,AC001,2025-09-20,21 Air Conditioning,Pack Flow Control Valve,Left pack flow below commanded value,Low,false,5,false,4.4,Parker,Replaced pack flow control valve and performed system reset,PN-2102,Closed
DEF0072,AC004,2025-09-23,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,Medium,true,73,false,10.1,Honeywell,Reset controller logic and monitored start sequence,PN-4901,Closed
DEF0059,AC008,2025-09-29,34 Navigation,FMS CDU,Pilot CDU keys unresponsive during route amendment,Low,false,12,false,1.4,Honeywell,Inspected keypad ribbon connector and verified response times,PN-3401,Deferred
DEF0031,AC010,2025-10-03,24 Electrical Power,Transformer Rectifier Unit,Transformer rectifier overheat caution during taxi-out,Low,false,7,false,1.8,Safran,Carried out wiring continuity inspection and system reset,PN-2401,Deferred
DEF0043,AC011,2025-10-05,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic reservoir sensor disagree message recorded,High,false,90,false,6.0,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Closed
DEF0109,AC002,2025-10-06,27 Flight Controls,Spoiler Control Actuator,Roll spoiler response asymmetry reported by crew,Medium,false,58,false,6.1,Parker,Replaced spoiler actuator and conducted hydraulic leak check,PN-2702,Closed
DEF0032,AC003,2025-10-14,25 Equipment/Furnishings,IFE Seat Electronics Box,Multiple passenger IFE screens inoperative,Low,false,16,false,1.3,Panasonic,Replaced seat electronics box and completed cabin test,PN-2501,Deferred
DEF0048,AC005,2025-10-14,22 Auto Flight,Autothrust Servo Module,Autothrust transient disconnect observed in cruise,Low,false,6,false,1.2,Thales,Replaced servo module and repeated autothrust test profile,PN-2202,Deferred
DEF0034,AC002,2025-10-15,49 APU,APU Starter Controller,APU auto-start unsuccessful on turnaround,High,true,329,false,16.8,Honeywell,Reset controller logic and monitored start sequence,PN-4901,Closed
DEF0093,AC007,2025-10-29,27 Flight Controls,Spoiler Control Actuator,Roll spoiler response asymmetry reported by crew,High,false,39,false,11.4,Parker,Inspected actuator fittings and re-bled hydraulic line,PN-2702,Closed
DEF0010,AC009,2025-11-09,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic quantity indication fluctuating on taxi-in,High,false,66,false,9.9,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Closed
DEF0102,AC003,2025-11-12,23 Communications,Satcom Transceiver,SATCOM channel did not initialize during dispatch prep,Low,false,8,false,5.1,Honeywell,Checked antenna coupler connections and repeated comm test,PN-2302,Closed
DEF0003,AC004,2025-11-14,38 Water/Waste,Vacuum Waste Interface Valve,Lavatory waste interface valve not cycling correctly,Medium,false,40,false,7.7,Lufthansa Technik,Performed system reset and leak check on waste line,PN-3802,Closed
DEF0070,AC002,2025-11-15,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic reservoir sensor disagree message recorded,High,true,387,false,16.7,Parker,Performed fault isolation and verified stable quantity readings,PN-2901,Closed
DEF0008,AC003,2025-11-18,24 Electrical Power,Static Inverter,AC essential bus transfer delay traced to inverter,High,false,123,false,16.5,Thales,Replaced static inverter and performed transfer check,PN-2402,Closed
DEF0140,AC006,2025-11-22,25 Equipment/Furnishings,Galley Power Control Unit,Galley power reset required after engine start,Medium,true,188,false,9.6,Safran,Reset feeder contactor and monitored current draw,PN-2502,Closed
DEF0151,AC003,2025-11-27,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,Medium,true,163,false,10.7,Honeywell,Inspected start relay circuit and carried out repeated start test,PN-4901,Closed
DEF0097,AC007,2025-11-29,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Hydraulic leak observed near main landing gear,High,true,335,false,15.4,Parker,Replaced hydraulic line kit and performed pressure leak test,PN-2902,Closed
DEF0141,AC006,2025-12-02,25 Equipment/Furnishings,Galley Power Control Unit,Galley feeder tripped intermittently during service setup,High,false,129,true,9.0,Safran,Inspected galley harness and verified power restoration,PN-2502,Closed
DEF0152,AC003,2025-12-13,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,High,false,59,true,6.6,Honeywell,Replaced starter controller and completed successful APU run,PN-4901,Open
DEF0146,AC004,2025-12-14,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,Medium,false,55,false,4.4,Honeywell,Replaced CDU and repeated route entry test,PN-3401,Closed
DEF0104,AC007,2025-12-17,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,High,false,81,false,5.8,Honeywell,Inspected start relay circuit and carried out repeated start test,PN-4901,Open
DEF0071,AC007,2025-12-18,49 APU,APU Fuel Control Unit,APU flame-out indication during ground start,High,false,58,true,9.1,Honeywell,Inspected fuel harness and verified successful ground start,PN-4902,Closed
DEF0147,AC004,2025-12-19,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,Medium,false,47,true,2.8,Honeywell,Inspected keypad ribbon connector and verified response times,PN-3401,Deferred
DEF0148,AC011,2025-12-19,22 Auto Flight,Autopilot Flight Control Computer,Autopilot dropped offline during managed descent,High,true,232,false,3.9,Collins,Inspected wiring to flight control computer and updated software load,PN-2201,Open
DEF0115,AC001,2025-12-20,24 Electrical Power,Static Inverter,AC essential bus transfer delay traced to inverter,High,true,355,false,14.9,Thales,Performed troubleshooting and confirmed inverter stability,PN-2402,Closed
DEF0149,AC011,2025-12-20,22 Auto Flight,Autopilot Flight Control Computer,AP1 engagement rejected following mode transition,High,true,179,true,15.9,Collins,Performed fault isolation per AMM and repeated engagement test,PN-2201,Closed
DEF0062,AC002,2025-12-26,34 Navigation,FMS CDU,Pilot CDU keys unresponsive during route amendment,Medium,false,77,false,4.5,Honeywell,Inspected keypad ribbon connector and verified response times,PN-3401,Deferred
DEF0125,AC002,2025-12-26,25 Equipment/Furnishings,IFE Seat Electronics Box,Seat row IFE reset required repeatedly,Low,false,35,false,5.0,Panasonic,Replaced seat electronics box and completed cabin test,PN-2501,Closed
DEF0066,AC005,2025-12-27,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,High,true,272,false,18.7,Honeywell,Inspected connectors and swapped pressure controller unit,PN-2101,Closed
DEF0126,AC002,2025-12-28,25 Equipment/Furnishings,IFE Seat Electronics Box,Multiple passenger IFE screens inoperative,Medium,false,48,true,5.3,Panasonic,Replaced seat electronics box and completed cabin test,PN-2501,Closed
DEF0011,AC006,2025-12-31,32 Landing Gear,Nose Gear Steering Control Valve,Steering control valve fault message after landing,High,true,356,false,11.7,Parker,Inspected hydraulic servo line and repeated steering check,PN-3202,Closed
DEF0150,AC011,2025-12-31,22 Auto Flight,Autopilot Flight Control Computer,Autopilot disconnect warning during climb,Critical,true,207,true,16.4,Collins,Replaced AFCC and carried out autopilot functional test,PN-2201,Closed
DEF0132,AC004,2026-01-01,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,High,false,49,false,9.6,Honeywell,Performed BITE test and reset pressurization channel,PN-2101,Closed
DEF0021,AC004,2026-01-02,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,Critical,true,190,false,20.8,Thales,Replaced elevator position sensor and performed rigging check,PN-2701,Closed
DEF0116,AC001,2026-01-02,24 Electrical Power,Static Inverter,Inverter output frequency fluctuation observed during test,High,false,98,true,8.2,Thales,Performed troubleshooting and confirmed inverter stability,PN-2402,Closed
DEF0057,AC002,2026-01-03,27 Flight Controls,Elevator Position Sensor,Flight control ECAM indicated elevator sensor fault,High,true,307,false,12.4,Thales,Adjusted sensor alignment and completed flight control test,PN-2701,Closed
DEF0133,AC004,2026-01-06,21 Air Conditioning,Cabin Pressure Controller,Pressurization controller fail light illuminated after climb,High,false,75,true,15.2,Honeywell,Performed BITE test and reset pressurization channel,PN-2101,Closed
DEF0009,AC003,2026-01-08,49 APU,APU Starter Controller,APU auto-start unsuccessful on turnaround,High,false,70,true,5.2,Honeywell,Replaced starter controller and completed successful APU run,PN-4901,Deferred
DEF0135,AC003,2026-01-09,34 Navigation,IRS Cooling Fan,Navigation cooling fan fail message recorded,High,false,51,false,10.2,Collins,Performed operational test and verified fault clearance,PN-3402,Closed
DEF0153,AC005,2026-01-10,34 Navigation,FMS CDU,FMS input lag intermittently reported,Low,false,26,false,2.4,Honeywell,Performed software refresh and monitored key response,PN-3401,Open
DEF0121,AC009,2026-01-12,27 Flight Controls,Elevator Position Sensor,Elevator position disagree caution during approach,High,true,382,false,15.7,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Closed
DEF0154,AC005,2026-01-12,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,Medium,false,75,true,2.2,Honeywell,Inspected keypad ribbon connector and verified response times,PN-3401,Open
DEF0136,AC003,2026-01-15,34 Navigation,IRS Cooling Fan,IRS bay cooling fan noise elevated during preflight,High,false,29,true,11.6,Collins,Performed operational test and verified fault clearance,PN-3402,Closed
DEF0035,AC002,2026-01-19,24 Electrical Power,Static Inverter,Inverter output frequency fluctuation observed during test,Low,false,22,false,3.0,Thales,Secured inverter cannon plug and repeated electrical test,PN-2402,Closed
DEF0124,AC004,2026-01-19,22 Auto Flight,Autothrust Servo Module,A/THR mode caution after thrust lever idle selection,High,false,128,false,9.7,Thales,Adjusted servo harness termination and carried out engine run,PN-2202,Closed
DEF0123,AC004,2026-01-20,22 Auto Flight,Autothrust Servo Module,A/THR mode caution after thrust lever idle selection,Low,false,3,true,1.2,Thales,Reset autothrust channel and performed post-maintenance operational check,PN-2202,Open
DEF0134,AC004,2026-01-20,21 Air Conditioning,Cabin Pressure Controller,Cabin pressurization fault message during descent,High,false,57,true,8.7,Honeywell,Performed BITE test and reset pressurization channel,PN-2101,Closed
DEF0075,AC010,2026-01-23,25 Equipment/Furnishings,Galley Power Control Unit,Galley feeder tripped intermittently during service setup,Medium,false,59,false,5.1,Safran,Replaced galley power control unit and carried out load check,PN-2502,Closed
DEF0101,AC010,2026-01-24,49 APU,APU Fuel Control Unit,APU flame-out indication during ground start,Medium,false,41,false,3.7,Honeywell,Inspected fuel harness and verified successful ground start,PN-4902,Deferred
DEF0112,AC002,2026-01-24,38 Water/Waste,Vacuum Waste Interface Valve,Waste system reset required after arrival,Medium,false,7,false,5.7,Lufthansa Technik,Replaced interface valve and completed functional check,PN-3802,Closed
DEF0137,AC003,2026-01-24,34 Navigation,IRS Cooling Fan,IRS bay cooling fan noise elevated during preflight,High,false,64,true,12.9,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
DEF0111,AC002,2026-01-25,38 Water/Waste,Vacuum Waste Interface Valve,Lavatory waste interface valve not cycling correctly,Medium,false,29,true,4.9,Lufthansa Technik,Inspected actuator linkage and verified waste cycle performance,PN-3802,Open
DEF0122,AC009,2026-01-25,27 Flight Controls,Elevator Position Sensor,Elevator feedback signal intermittent in maintenance pages,High,true,170,true,13.7,Thales,Inspected signal wiring and repeated feedback verification,PN-2701,Closed
DEF0087,AC002,2026-01-26,49 APU,APU Fuel Control Unit,APU fuel scheduling fault recorded in maintenance pages,High,true,218,false,14.2,Honeywell,Performed fuel metering check and cleared recorded fault,PN-4902,Closed
DEF0036,AC012,2026-02-01,32 Landing Gear,Nose Gear Steering Control Valve,Nose gear steering response sluggish during pushback,High,true,230,false,6.0,Parker,Replaced steering control valve and completed towing test,PN-3202,Deferred
DEF0037,AC009,2026-02-03,24 Electrical Power,Static Inverter,Static inverter fail indication on ground power,Low,false,15,false,3.1,Thales,Secured inverter cannon plug and repeated electrical test,PN-2402,Closed
DEF0119,AC012,2026-02-03,32 Landing Gear,Brake Control Unit,Brake control unit reported channel mismatch,High,false,34,true,4.5,Safran,Replaced brake control unit and carried out taxi check,PN-3201,Deferred
DEF0120,AC012,2026-02-06,32 Landing Gear,Brake Control Unit,Anti-skid self-test failed after turnaround,High,true,313,true,4.1,Safran,Ran anti-skid test sequence and verified brake application,PN-3201,Open
DEF0110,AC010,2026-02-08,31 Indicating/Recording Systems,Brake Temperature Monitoring Unit,Brake temperature indication discrepancy after landing,Medium,false,32,false,3.6,Honeywell,Performed sensor channel test and reset monitoring computer,PN-3101,Closed
DEF0012,AC003,2026-02-09,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,Medium,true,207,false,4.2,Parker,Tightened B-nut connection and repeated leak inspection,PN-2902,Open
DEF0081,AC010,2026-02-13,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Leak confirmed on gear door hydraulic return line,Low,false,17,false,1.8,Parker,Removed damaged hose assembly and replenished fluid quantity,PN-2902,Deferred
DEF0114,AC012,2026-02-13,34 Navigation,FMS CDU,FMS input lag intermittently reported,Medium,false,27,false,9.0,Honeywell,Replaced CDU and repeated route entry test,PN-3401,Closed
DEF0144,AC007,2026-02-15,34 Navigation,IRS Cooling Fan,IRS cooling fan current draw above normal limit,Medium,false,11,false,4.0,Collins,Cleaned fan intake and confirmed normal current draw,PN-3402,Open
DEF0113,AC012,2026-02-17,34 Navigation,FMS CDU,FMS input lag intermittently reported,Medium,false,34,true,8.3,Honeywell,Performed software refresh and monitored key response,PN-3401,Closed
DEF0145,AC007,2026-02-18,34 Navigation,IRS Cooling Fan,IRS cooling fan current draw above normal limit,Medium,false,54,true,6.2,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
